Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Bahrain,1472237,18-12-2021,278410,18.9106781
Serbia,6871547,31-12-2021,1299339,18.90897348
Andorra,79843,13-09-2021,15096,18.90710519
Bahrain,1472237,17-12-2021,278309,18.9038178
Slovenia,2119843,21-11-2021,400685,18.90163564
Bahrain,1472237,16-12-2021,278257,18.90028576
Bahrain,1472237,15-12-2021,278202,18.89654994
Bahrain,1472237,14-12-2021,278149,18.89294998
Montenegro,627082,06-09-2021,118466,18.89162821
Andorra,79843,10-09-2021,15083,18.89082324
Andorra,79843,11-09-2021,15083,18.89082324
Andorra,79843,12-09-2021,15083,18.89082324
Georgia,3744385,28-10-2021,707290,18.88935032
Bahrain,1472237,12-12-2021,278065,18.88724438
Bahrain,1472237,13-12-2021,278065,18.88724438
Bahrain,1472237,11-12-2021,278037,18.88534251
Andorra,79843,09-09-2021,15078,18.88456095
United Kingdom,67508936,30-12-2021,12748050,18.8835001
Seychelles,107135,04-09-2021,20230,18.88271807
Seychelles,107135,05-09-2021,20230,18.88271807
Seychelles,107135,06-09-2021,20230,18.88271807
Seychelles,107135,03-09-2021,20230,18.88271807
Bahrain,1472237,10-12-2021,277997,18.88262556
Bahrain,1472237,09-12-2021,277964,18.88038407
Bahrain,1472237,08-12-2021,277935,18.87841428
Serbia,6871547,30-12-2021,1297147,18.87707382
Czechia,10493990,20-11-2021,1980849,18.87603285
Gibraltar,32677,08-11-2021,6168,18.87566178
Bahrain,1472237,07-12-2021,277894,18.8756294
Andorra,79843,07-09-2021,15070,18.87454129
Andorra,79843,08-09-2021,15070,18.87454129
Andorra,79843,06-09-2021,15069,18.87328883
Bahrain,1472237,06-12-2021,277856,18.87304829
Bahrain,1472237,05-12-2021,277831,18.8713502
Bahrain,1472237,04-12-2021,277803,18.86944833
San Marino,33690,09-12-2021,6357,18.86910062
Bahrain,1472237,03-12-2021,277772,18.86734269
Bahrain,1472237,02-12-2021,277752,18.86598421
Slovakia,5643455,20-11-2021,1064680,18.86574802
Bahrain,1472237,01-12-2021,277721,18.86387857
Bahrain,1472237,30-11-2021,277690,18.86177293
Bahrain,1472237,29-11-2021,277628,18.85756166
Andorra,79843,03-09-2021,15055,18.85575442
Andorra,79843,04-09-2021,15055,18.85575442
Andorra,79843,05-09-2021,15055,18.85575442
Bahrain,1472237,28-11-2021,277585,18.85464093
Bahrain,1472237,27-11-2021,277552,18.85239944
Andorra,79843,02-09-2021,15052,18.85199704
Bahrain,1472237,26-11-2021,277536,18.85131266
Bahrain,1472237,25-11-2021,277510,18.84954664
Lithuania,2750058,28-12-2021,518360,18.849057
Serbia,6871547,29-12-2021,1295198,18.84871049
Bahrain,1472237,24-11-2021,277481,18.84757685
Bahrain,1472237,23-11-2021,277444,18.84506367
Andorra,79843,01-09-2021,15046,18.8444823
Bahrain,1472237,22-11-2021,277421,18.84350142
Bahrain,1472237,21-11-2021,277389,18.84132786
Mongolia,3398373,16-11-2021,640264,18.84030976
Bahrain,1472237,20-11-2021,277348,18.83854298
Bahrain,1472237,19-11-2021,277322,18.83677696
Bahrain,1472237,18-11-2021,277304,18.83555433
Bahrain,1472237,17-11-2021,277282,18.83406001
Montenegro,627082,05-09-2021,118104,18.83390051
Bahrain,1472237,16-11-2021,277262,18.83270153
Bahrain,1472237,15-11-2021,277246,18.83161475
Bahrain,1472237,14-11-2021,277223,18.8300525
Gibraltar,32677,07-11-2021,6153,18.82975793
Bahrain,1472237,13-11-2021,277201,18.82855817
Andorra,79843,31-08-2021,15033,18.82820034
Bahrain,1472237,12-11-2021,277184,18.82740347
Andorra,79843,30-08-2021,15032,18.82694789
Bahrain,1472237,11-11-2021,277165,18.82611292
Bahrain,1472237,10-11-2021,277138,18.82427897
Bahrain,1472237,09-11-2021,277113,18.82258088
