Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Montenegro,627082,2021-11-06,148027,23.60568474
Czechia,10493990,2021-12-31,2475729,23.59187497
Georgia,3744385,2021-12-10,882822,23.57722296
Andorra,79843,2021-12-07,18815,23.56499631
Andorra,79843,2021-12-08,18815,23.56499631
Czechia,10493990,2021-12-30,2469951,23.53681488
Slovakia,5643455,2021-12-20,1327031,23.51451372
Gibraltar,32677,2021-12-16,7683,23.5119503
Montenegro,627082,2021-11-05,147401,23.50585729
Georgia,3744385,2021-12-09,879368,23.48497817
Slovakia,5643455,2021-12-19,1325153,23.48123623
Czechia,10493990,2021-12-29,2463780,23.47800979
Slovakia,5643455,2021-12-18,1321091,23.40925904
Czechia,10493990,2021-12-28,2454645,23.39095997
Georgia,3744385,2021-12-08,875806,23.38984907
Montenegro,627082,2021-11-04,146663,23.38816933
Gibraltar,32677,2021-12-15,7629,23.34669645
Andorra,79843,2021-12-06,18631,23.33454404
Czechia,10493990,2021-12-27,2447758,23.32533193
Slovakia,5643455,2021-12-17,1316172,23.32209613
Czechia,10493990,2021-12-26,2445741,23.3061114
Czechia,10493990,2021-12-25,2444648,23.29569592
Georgia,3744385,2021-12-07,871580,23.27698674
Montenegro,627082,2021-11-03,145936,23.27223553
Gibraltar,32677,2021-12-14,7589,23.2242862
Slovakia,5643455,2021-12-16,1310588,23.22314965
San Marino,33690,2021-12-30,7808,23.17601662
San Marino,33690,2021-12-29,7808,23.17601662
Montenegro,627082,2021-11-02,145314,23.17304595
Georgia,3744385,2021-12-06,867071,23.15656643
Seychelles,107135,2021-12-30,24788,23.13716339
Seychelles,107135,2021-12-31,24788,23.13716339
Georgia,3744385,2021-12-05,865293,23.109082
Gibraltar,32677,2021-12-13,7546,23.09269517
Slovakia,5643455,2021-12-15,1302459,23.07910668
Montenegro,627082,2021-11-01,144692,23.07385637
Gibraltar,32677,2021-12-12,7525,23.02842978
Georgia,3744385,2021-12-04,861883,23.0180123
Montenegro,627082,2021-10-31,144314,23.01357717
Gibraltar,32677,2021-12-11,7508,22.97640542
Slovakia,5643455,2021-12-14,1295909,22.96304303
Czechia,10493990,2021-12-20,2406989,22.93683337
Czechia,10493990,2021-12-21,2406989,22.93683337
Czechia,10493990,2021-12-22,2406989,22.93683337
Czechia,10493990,2021-12-23,2406989,22.93683337
Czechia,10493990,2021-12-24,2406989,22.93683337
Montenegro,627082,2021-10-30,143785,22.92921819
Georgia,3744385,2021-12-03,857933,22.91252101
Seychelles,107135,2021-12-29,24546,22.91128016
Gibraltar,32677,2021-12-10,7485,22.90601952
Czechia,10493990,2021-12-19,2403248,22.90118439
Montenegro,627082,2021-10-29,143322,22.85538414
Slovakia,5643455,2021-12-13,1289252,22.84508338
Czechia,10493990,2021-12-18,2397246,22.84398975
Gibraltar,32677,2021-12-09,7463,22.83869388
Seychelles,107135,2021-12-28,24451,22.82260699
Georgia,3744385,2021-12-02,853833,22.80302373
Slovakia,5643455,2021-12-12,1286336,22.7934129
Seychelles,107135,2021-12-27,24412,22.78620432
Montenegro,627082,2021-10-28,142807,22.77325772
Czechia,10493990,2021-12-17,2388253,22.75829308
Gibraltar,32677,2021-12-08,7436,22.75606696
San Marino,33690,2021-12-28,7657,22.72781241
San Marino,33690,2021-12-27,7656,22.72484417
Georgia,3744385,2021-12-01,850102,22.7033812
Montenegro,627082,2021-10-27,142308,22.6936828
Slovakia,5643455,2021-12-11,1280370,22.68769752
Czechia,10493990,2021-12-16,2378728,22.66752684
Gibraltar,32677,2021-12-07,7402,22.65201824
Seychelles,107135,2021-12-23,24249,22.63405983
Seychelles,107135,2021-12-24,24249,22.63405983
Seychelles,107135,2021-12-25,24249,22.63405983
Seychelles,107135,2021-12-26,24249,22.63405983
Montenegro,627082,2021-10-26,141834,22.6180946
Seychelles,107135,2021-12-22,24197,22.58552294
Georgia,3744385,2021-11-30,845643,22.58429622
Gibraltar,32677,2021-12-06,7376,22.57245157
Gibraltar,32677,2021-12-05,7371,22.55715029
Slovakia,5643455,2021-12-10,1272991,22.55694428
