Location,date,population,total_cases,total_deaths
Afghanistan,26-04-2021,41128772,59015,2592
Afghanistan,27-04-2021,41128772,59225,2598
Afghanistan,28-04-2021,41128772,59370,2611
Afghanistan,29-04-2021,41128772,59576,2618
Afghanistan,30-04-2021,41128772,59745,2625
Afghanistan,01-05-2021,41128772,59939,2631
Afghanistan,02-05-2021,41128772,60122,2637
Afghanistan,03-05-2021,41128772,60300,2642
Afghanistan,04-05-2021,41128772,60563,2648
Afghanistan,05-05-2021,41128772,60797,2654
Afghanistan,06-05-2021,41128772,61162,2664
Afghanistan,07-05-2021,41128772,61455,2673
Afghanistan,08-05-2021,41128772,61755,2683
Afghanistan,09-05-2021,41128772,61842,2686
Afghanistan,10-05-2021,41128772,62063,2698
Afghanistan,11-05-2021,41128772,62403,2710
Afghanistan,12-05-2021,41128772,62718,2713
Afghanistan,13-05-2021,41128772,63045,2721
Afghanistan,14-05-2021,41128772,63355,2730
Afghanistan,15-05-2021,41128772,63412,2733
Afghanistan,16-05-2021,41128772,63484,2742
Afghanistan,17-05-2021,41128772,63598,2745
Afghanistan,18-05-2021,41128772,63819,2751
Afghanistan,19-05-2021,41128772,64122,2762
Afghanistan,20-05-2021,41128772,64575,2772
Afghanistan,21-05-2021,41128772,65080,2782
Afghanistan,22-05-2021,41128772,65486,2792
Afghanistan,23-05-2021,41128772,65728,2802
Afghanistan,24-05-2021,41128772,66275,2812
Afghanistan,25-05-2021,41128772,66903,2836
Afghanistan,26-05-2021,41128772,67743,2855
Afghanistan,27-05-2021,41128772,68366,2869
Afghanistan,28-05-2021,41128772,69130,2881
Afghanistan,29-05-2021,41128772,70111,2899
Afghanistan,30-05-2021,41128772,70761,2919
Afghanistan,31-05-2021,41128772,71838,2944
Afghanistan,01-06-2021,41128772,72977,2973
Afghanistan,02-06-2021,41128772,74026,3007
Afghanistan,03-06-2021,41128772,75119,3034
Afghanistan,04-06-2021,41128772,76628,3068
Afghanistan,05-06-2021,41128772,77963,3104
Afghanistan,06-06-2021,41128772,79224,3145
Afghanistan,07-06-2021,41128772,80841,3187
Afghanistan,08-06-2021,41128772,82326,3251
Afghanistan,09-06-2021,41128772,84050,3305
Afghanistan,10-06-2021,41128772,85892,3356
Afghanistan,11-06-2021,41128772,87716,3412
Afghanistan,12-06-2021,41128772,88740,3449
Afghanistan,13-06-2021,41128772,89861,3527
Afghanistan,14-06-2021,41128772,91458,3612
Afghanistan,15-06-2021,41128772,93272,3683
Afghanistan,16-06-2021,41128772,93288,3683
Afghanistan,17-06-2021,41128772,96531,3842
Afghanistan,18-06-2021,41128772,98734,3934
Afghanistan,19-06-2021,41128772,100521,4030
Afghanistan,20-06-2021,41128772,101906,4122
Afghanistan,21-06-2021,41128772,103902,4215
Afghanistan,22-06-2021,41128772,105749,4293
Afghanistan,23-06-2021,41128772,107957,4366
Afghanistan,24-06-2021,41128772,109532,4452
Afghanistan,25-06-2021,41128772,111592,4519
Afghanistan,26-06-2021,41128772,113124,4594
